timestamp,phase,process_cpu_percent,system_cpu_percent,process_ram_mb,system_ram_percent,available_ram_mb,gpu_utilization_percent,gpu_memory_used_mb,gpu_memory_total_mb
2026-06-17T04:40:47.990945+00:00,preprocessing,0.0,0.0,191.6171875,59.1,13349.42578125,47.0,3584.74609375,8188.0
2026-06-17T04:40:48.011166+00:00,preprocessing,0.0,9.7,192.1015625,59.1,13348.63671875,47.0,3584.74609375,8188.0
2026-06-17T04:40:48.013212+00:00,classical_svm_grid_search,0.0,0.0,192.1015625,59.1,13348.5078125,47.0,3582.87109375,8188.0
2026-06-17T04:40:49.029656+00:00,classical_svm_grid_search,97.0,0.0,193.71875,59.4,13221.53515625,41.0,4301.46484375,8188.0
2026-06-17T04:40:49.335974+00:00,classical_svm_grid_search,89.9,14.4,194.0078125,59.7,13150.9609375,41.0,4061.90234375,8188.0
2026-06-17T04:40:49.341323+00:00,classical_svm_final_training,0.0,0.0,194.3515625,59.7,13149.4375,41.0,4061.90234375,8188.0
2026-06-17T04:40:49.342328+00:00,classical_svm_final_training,0.0,0.0,194.3515625,59.7,13149.0,41.0,4061.90234375,8188.0
2026-06-17T04:40:49.343328+00:00,final_evaluation,0.0,0.0,194.3515625,59.7,13147.875,41.0,4061.90234375,8188.0
2026-06-17T04:40:49.343328+00:00,final_evaluation,0.0,0.0,194.3515625,59.7,13147.80859375,41.0,4061.90234375,8188.0
2026-06-17T04:40:50.270622+00:00,qsvm_optuna_search,0.0,0.0,221.546875,60.9,12734.6484375,5.0,4119.52734375,8188.0
2026-06-17T04:40:51.275463+00:00,qsvm_optuna_search,0.0,0.0,223.0625,60.4,12898.03125,25.0,4120.44140625,8188.0
2026-06-17T04:40:52.308532+00:00,qsvm_optuna_search,97.7,8.1,231.62890625,60.4,12897.87109375,25.0,4121.37890625,8188.0
2026-06-17T04:40:53.311344+00:00,qsvm_optuna_search,97.7,8.6,232.78515625,60.4,12895.921875,26.0,4120.25390625,8188.0
2026-06-17T04:40:54.326934+00:00,qsvm_optuna_search,100.8,7.3,234.87109375,60.4,12897.0390625,33.0,4121.19140625,8188.0
2026-06-17T04:40:55.342736+00:00,qsvm_optuna_search,195.3,8.5,236.703125,60.4,12903.26953125,38.0,4121.19140625,8188.0
2026-06-17T04:40:56.371395+00:00,qsvm_optuna_search,99.7,12.3,238.27734375,60.4,12897.01953125,39.0,4121.19140625,8188.0
2026-06-17T04:40:57.394365+00:00,qsvm_optuna_search,126.0,10.0,239.9765625,60.4,12899.50390625,39.0,4120.25390625,8188.0
2026-06-17T04:40:58.406447+00:00,qsvm_optuna_search,100.8,8.4,241.7109375,60.5,12887.91015625,41.0,4121.19140625,8188.0
2026-06-17T04:40:59.426999+00:00,qsvm_optuna_search,80.1,10.9,243.59765625,60.4,12895.58984375,36.0,4121.19140625,8188.0
2026-06-17T04:41:00.454127+00:00,qsvm_optuna_search,100.8,8.3,245.44921875,60.5,12869.55078125,35.0,4121.19140625,8188.0
2026-06-17T04:41:01.480086+00:00,qsvm_optuna_search,97.7,9.2,247.2421875,60.5,12889.12109375,40.0,4120.25390625,8188.0
2026-06-17T04:41:02.504576+00:00,qsvm_optuna_search,95.5,8.2,248.12890625,60.5,12885.94140625,39.0,4121.19140625,8188.0
2026-06-17T04:41:03.516158+00:00,qsvm_optuna_search,99.9,8.7,243.69921875,60.4,12921.8515625,39.0,4121.19140625,8188.0
2026-06-17T04:41:04.529866+00:00,qsvm_optuna_search,100.2,13.5,244.0625,59.4,13239.1953125,38.0,4116.81640625,8188.0
2026-06-17T04:41:05.544133+00:00,qsvm_optuna_search,99.9,9.3,244.5078125,59.4,13226.4765625,43.0,4118.62890625,8188.0
2026-06-17T04:41:06.557147+00:00,qsvm_optuna_search,99.9,9.4,244.796875,59.4,13227.578125,39.0,4118.62890625,8188.0
2026-06-17T04:41:07.560257+00:00,qsvm_optuna_search,95.3,11.8,245.0546875,59.5,13202.171875,37.0,4131.37890625,8188.0
2026-06-17T04:41:08.575922+00:00,qsvm_optuna_search,95.3,12.3,245.25390625,59.5,13199.91796875,25.0,4132.81640625,8188.0
2026-06-17T04:41:09.595985+00:00,qsvm_optuna_search,104.8,9.9,245.921875,59.7,13131.796875,26.0,4132.81640625,8188.0
2026-06-17T04:41:10.633046+00:00,qsvm_optuna_search,100.0,9.9,245.74609375,59.7,13152.90625,26.0,4134.12890625,8188.0
2026-06-17T04:41:11.651153+00:00,qsvm_optuna_search,100.2,13.4,245.859375,60.4,12926.78125,26.0,4133.93359375,8188.0
2026-06-17T04:41:12.667019+00:00,qsvm_optuna_search,103.9,7.3,245.86328125,60.2,12969.48828125,34.0,4130.80859375,8188.0
2026-06-17T04:41:13.681459+00:00,qsvm_optuna_search,99.9,7.9,245.92578125,60.3,12955.91796875,40.0,4137.25390625,8188.0
2026-06-17T04:41:14.700035+00:00,qsvm_optuna_search,100.1,7.8,245.93359375,60.3,12958.26953125,36.0,4138.19140625,8188.0
2026-06-17T04:41:15.708105+00:00,qsvm_optuna_search,96.2,6.0,245.93359375,60.3,12956.4765625,39.0,4138.19140625,8188.0
2026-06-17T04:41:16.721513+00:00,qsvm_optuna_search,103.9,7.4,245.93359375,60.2,12963.12890625,39.0,4138.19140625,8188.0
2026-06-17T04:41:17.734810+00:00,qsvm_optuna_search,95.9,21.2,246.01171875,61.1,12682.03125,36.0,4134.91015625,8188.0
2026-06-17T04:41:18.751246+00:00,qsvm_optuna_search,96.2,16.8,246.3203125,61.1,12674.69140625,36.0,4133.47265625,8188.0
2026-06-17T04:41:19.759924+00:00,qsvm_optuna_search,99.9,12.4,246.3125,61.3,12610.484375,40.0,4133.47265625,8188.0
2026-06-17T04:41:20.764280+00:00,qsvm_optuna_search,100.0,11.0,246.515625,61.3,12615.77734375,40.0,4131.72265625,8188.0
2026-06-17T04:41:21.788689+00:00,qsvm_optuna_search,100.0,8.6,247.97265625,61.0,12699.15625,42.0,4132.66015625,8188.0
2026-06-17T04:41:22.835497+00:00,qsvm_optuna_search,100.0,7.0,249.01953125,61.0,12710.0859375,35.0,4131.72265625,8188.0
2026-06-17T04:41:23.870826+00:00,qsvm_optuna_search,95.3,6.8,247.94140625,61.0,12711.703125,35.0,4132.66015625,8188.0
2026-06-17T04:41:24.881963+00:00,qsvm_optuna_search,97.7,6.5,248.06640625,61.0,12725.9375,40.0,4132.66015625,8188.0
2026-06-17T04:41:25.892514+00:00,qsvm_optuna_search,97.5,9.3,248.06640625,60.9,12736.37109375,39.0,4132.66015625,8188.0
2026-06-17T04:41:26.897575+00:00,qsvm_optuna_search,100.1,7.0,248.06640625,60.9,12739.6484375,40.0,4131.72265625,8188.0
2026-06-17T04:41:27.910588+00:00,qsvm_optuna_search,100.0,8.4,248.0625,60.9,12738.56640625,39.0,4132.66015625,8188.0
2026-06-17T04:41:28.930646+00:00,qsvm_optuna_search,92.8,7.7,248.078125,60.9,12744.0703125,38.0,4123.31640625,8188.0
2026-06-17T04:41:29.942579+00:00,qsvm_optuna_search,99.9,16.7,248.08203125,61.1,12680.90625,38.0,4135.41015625,8188.0
2026-06-17T04:41:30.970619+00:00,qsvm_optuna_search,100.0,10.7,248.05078125,61.0,12723.37109375,35.0,4136.41015625,8188.0
2026-06-17T04:41:32.010725+00:00,qsvm_optuna_search,99.7,9.6,247.1640625,60.8,12776.60546875,35.0,4136.41015625,8188.0
2026-06-17T04:41:33.036006+00:00,qsvm_optuna_search,100.2,7.6,247.1640625,60.8,12779.69140625,39.0,4135.74609375,8188.0
2026-06-17T04:41:34.063838+00:00,qsvm_optuna_search,99.9,6.5,247.2265625,60.6,12848.94921875,37.0,4135.74609375,8188.0
2026-06-17T04:41:35.078928+00:00,qsvm_optuna_search,90.8,9.0,247.22265625,60.6,12850.890625,38.0,4135.68359375,8188.0
2026-06-17T04:41:36.100910+00:00,qsvm_optuna_search,99.7,9.1,247.22265625,60.6,12848.4296875,40.0,4135.68359375,8188.0
